lungsta_nk,Lunga Simelane,"RT @Anthony_Jerome1: Just because Ole was a quality player for our club doesn't mean he's good enough to be @ManUtd manager. 
I'm good at t…",1,"Gauteng, East Rand"
jesptl,Jesptl1,"😂😂😂😂 Paul pogba ya know! 💀💀💀 @paulpogba
#TheRapGameUK #therapgame #ManchesterUnited #mufc https://t.co/BzDCJcpUTt",0,
Luke30040772,Luke 🔴⚪⚫,"Who would you like as the next Manchester United manager?

@ManUtd #MUFC #ManchesterUnited",0,United Kingdom
TRFootballUpdat,TurkishFootballNews,What happened in Turkish football today? #Basaksehirspor #ManchesterUnited #Sivasspor #YeniMalatyaspor… https://t.co/TIhOqWUuFK,0,"İstanbul, Türkiye"
ShottyChelsea,Chelsea’s girl💙⚽️ 💡,"Man united fans disappeared on the street tonight,I know you are here sha be pepping through the window like that… https://t.co/d0HHyctrgz",0,Lagos Nigeria 
Anthony_Jerome1,Anthony Jerome,"Just because Ole was a quality player for our club doesn't mean he's good enough to be @ManUtd manager. 
I'm good a… https://t.co/9RVCrQFGbZ",1,Cardiff 
manutdnewsonly,Man Utd Fans,Rio’s analysis: “You wouldn’t see this on Hackney marshes” https://t.co/U2OsD9f9CQ #UtdTalk #United #ManUTD… https://t.co/zKoSv5PnFk,0,
triple___three,D P,Ole is just everyone of us who plays football manager games without knowing what tactic is suitable against what te… https://t.co/wOZVGy1P7h,0,
OnTheStoopLolo,OnTheStoop w/Lolo,"RT @DatGoonLoLo: What is wrong with #ManchesterUnited ? We look into it on the latest episode ⤵️
HAS OLE LOST HIS TEAM? Pathetic Man United…",1,"Brooklyn, NY"
KisaEd,Man like ED 🇺🇬🇰🇪,"If your partner supports #ManchesterUnited  please send them nudes! They are not okay
😂😂😂 #ISTMUN #UCL",0,Uganda
flyingeze,Flying Eze,"Juve wins big, Barca outlasts 12-save teen GK
https://t.co/MPMwcgy2UI
 #-PremierLeague #ÁlvaroMorata… https://t.co/l1715VCpot",0,
DatGoonLoLo,DatGoonLoLo,"What is wrong with #ManchesterUnited ? We look into it on the latest episode ⤵️
HAS OLE LOST HIS TEAM? Pathetic Man… https://t.co/XQCYBrIcIQ",1,"Park Slope, Brooklyn"
tezcansan,Can OZDEMIR,Turkish #Basaksehir defeat England's #ManchesterUnited  with 2-1 score in #Istanbul https://t.co/fLhIW6G9mt,0,"Alert,Nunavut"
footblog90,FootBlog90,"😳 Shock loss for #ManchesterUnited and #ParisSaintGermain in their respective #ChampionsLeague matches. 😬

#UCL https://t.co/4HKEPzR6Wz",0,
gupta_saket,saket gupta,Pogba is world class. Bruno is in the same category. Rashford is next Ronaldo. Martial can be a magician. Maguire i… https://t.co/2PdUEpcA83,0,"Skipton, England"
kelvinvokey,Dj Kelvinpesa Ent,Chelsea vs Rennes 3-0 Werner hits a Brace as Abraham scores his first | ... https://t.co/O2pzlvXBrx via @YouTube Me… https://t.co/kfl0OWm3je,0,Kenya
