screen_name,name,text,retweet_count,location
aj_dones,Hala Madrid 🤍,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"traveling, knowing somewhere.."
jimbobcast,JimBobCast,"Fuck My Boots!! Sergio Ramos has scored 100!!!! Goals for @realmadriden 

That is ridiculous!! A centre back with 1… https://t.co/chuseYSQpg",0,
SaberiAfsaneh,afsaneh saberi,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,
fitsum,🇪🇹🇺🇸🤙🏾ፍፁም,@FCBarcelona @ChampionsLeague @ivanhelguera1 @Oficial_RC3 @3gerardpique LOL the same week @SergioRamos scores his 100th for #RealMadrid,0,+1 202
greatinwang,Inwang Victor Nsikan,"RT @tru_challenge: 🤩 Former Real Madrid &amp; Inter Milan star Roberto Carlos has set you a free-kick challenge, check it out below!

CHALLENGE…",1,"Port Harcourt, Nigeria 🇳🇬"
CasemiroCDM,C ⚪️,I would sell my soul to the devil to make this happen. #RealMadrid https://t.co/JJ43oHpxDA,0,
ThePrinceMaba,Cliff Wang,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,0,
90SOCCER,90SOCCER,#ChampionsLeague - #Liverpool and #RealMadrid in the front line. #UCL https://t.co/hSl08tWEFd,0,"California, USA"
en_endm,endm.en,RT @morfootball_: @diarioas revealed that #RealMadrid has negotiated a matching-right in the transfer of Achraf #Hakimi. That means when he…,3,
morfootball_,MorFootball,@diarioas revealed that #RealMadrid has negotiated a matching-right in the transfer of Achraf #Hakimi. That means w… https://t.co/8FJyyBNlyO,3,
officialkhris1,Swag,"Champions League: Basaksehir 2 (FT) 1 Manchester United
#football #soccer #sports #futbol #fifa #sport… https://t.co/44Gg9X2NpS",0,
ElDiarioBlanco7,El Diario Blanco,"Interesante estadística de Transfermarkt con los máximos goleadores blancos del Siglo XXI ⬇️⬇️⬇️

4️⃣5️⃣0️⃣ Cristia… https://t.co/QA9eOV3qwU",0,
JesusCorral19,Jesus Corral,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
marcosvd__,Marcos Vicente Díaz,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Parla, España"
basketlover33,Triplesyasistencias,Thompkins nunca hace falta 😂😂😂 #ACB #LigaEndesa #RealMadrid,0,
amazingdarus,Darus Dangana,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,"Abuja,Nigeria"
fut_ballersfc,Futballers F.C,The GOAT Of Defending🙏🏾 #sergioramos @sergioramos #madrid #realmadrid  @realmadrid https://t.co/HoC8Zqssqp,0,"Chicago, IL"
soccerfanatictv,Soccer Fanatic TV,Martinez turns focus to Atalanta after details make the difference in Madrid https://t.co/iUKoQlwq5K #trending… https://t.co/7A2KgCeD8d,37,
danielzetee,Daniel T,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
Oyinademi3,Oyinademi,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
Heyna959,Heyna,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
Buktoy1,Buktoy,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
TitilopeGrace6,Titilope Grace,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
ddiy64,ddiy64: PES 2021 Become A Legend Devotee,RT @ZOSO_ZO: #PES2021 Very nice freekick by TONY KROOS8⃣🇩🇪 ( #RealMadrid ) 🇪🇸 ❤️🧡❤️⚽️Level : LEGEND 🤟💪🖖👌👇👇👇 #RealMadridInter https://t.co/5…,1,"England, United Kingdom"
Phumzee7,Phumzee,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
kimbnest,Kimberly,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
temi19909098,temi,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
_Hackett,michael,"Real Madrid vs Inter 3-2: Player Ratings | Sports ON Tap https://t.co/JZtpVOKL9v.

#RealMadrid #Madrid #playerratings #ChampionsLeague",0,"Chicago, IL"
CarlosJSB231290,CarlosJSB231290,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
soccernewsdesk,The Soccer Fanatic News Desk,Martinez turns focus to Atalanta after details make the difference in Madrid https://t.co/Aq44QoNUtc #trending… https://t.co/Y4jXZAMBgU,22,
OneWhoIs_,Jesse,#RealMadrid needs to sign Camavinga in the winter transfer. #ChampionsLeague,0,"Florida, USA"
anjorinpa,anjorin,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
serjavebrown,serjave,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
laxxymax,Lax maxwell,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
kanti0194,kanti,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
Reditonp,rediton,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
oskadave,Oska dave,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
kholesun,khole,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
Ibrarkh59654536,Ibrar Rajput,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
AnojHasitha,Anoj Hasitha,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,Sri Lanka
qinkbin,QinkBin,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
MbuPaola,🇨🇲Paola Pearl🇳🇬🇦🇪 #IAmKumba,"@Tkthereal1 U again??
U no di hear road with Man U??
Change team abeg, join the winning team.... #RealMadrid 😜😜😜",0,"Dubai, United Arab Emirates"
Amitinho_RM,Amitinho_Madridista ♟🖤🔝,"@realmadriden @SergioRamos Rodrygo!!! Should the scorer of the winner start?

Ødegaard is back!

Who to start for… https://t.co/8uIgl9HwF4",0,
GidoZoltan,Gidófalvi Zoltán,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
LondonsFinestQU,London's Finest,"As for Real Madrid, how important was it to get three points yesterday?

We discuss Real's updated #UCL fate...… https://t.co/2jWoz1v8Ur",0,
LondonsFinestS2,London's Finest Show Feed,"Yesterday gave us plenty of crazy results, including a lopsided 6-0 win for Monchengladbach over Shakhtar.

Even wi… https://t.co/sUxpEjPzsX",0,
DieterGucht,DieterVanGucht,"RT @ThatArabKeeper: 🧤✍️ Here's my latest for Between the Sticks!

Sergio Ramos has scored each of his last 25 penalties and 28 of his last…",6,"Merchtem, België"
Keepitr73976651,The man in black....and white.......🎸,"Welcome to the future @LaurensJulien @PSG_English when #Neymar goes back to #Barca and #mbappe to #RealMadrid 

PSG… https://t.co/OArR60EtQ0",0,"Sussex, England, UK"
OnMadridista,OnMadridista,Hazard's time in Spain has been marred by injury since joining the club in June last year and made scored just one… https://t.co/Q6SYR0dSPe,0,
FranAguilar1995,Fran Aguilar,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,Cartagena
Legenda51229260,Legendary 😎,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
TheCosmologyGuy,🔥HAVOC🔥,"RT @Route1futbol: 🎙Raphael Varane 🇫🇷: ""Hazard 🇧🇪 is a 'top' player and he's going to give us a lot. He's a special player."" #RealMadrid #Ha…",2,Ireland
oficial_poll,Football Pollsᵀᴹ,"Confrontation for the quarterfinals. Who has the biggest crowd in social media, #RealMadrid or #Milan?",0,United States
mdfmerchandise,mdfmerchandise,#RealMadrid Hooded Suit #LaLiga #Courtois #Varane #FedericoValverde #ChampionsLeague #MarcoAsensio #Benzema… https://t.co/lqU43Iwt7a,0,"Belleville, NJ"
Babybully7,Babybully,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
Emmanue84967729,Emmanuel Ade,"RT @merrybetsports: Legendary defender, #SergioRamos has now scored 1️⃣0️⃣0️⃣ goals for Spanish giants, #RealMadrid. 

Not your average cen…",2,
TxenTeam1986,ChentEDM 🍟 OnlyCopyCaTGA,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Burgos, CastillayLeon, España."
ShirtShackFooty,Shirt Shack Football,Happy birthday to Ballon d’Or winner Luis Figo! Was his move to Real the most controversial transfer of all time? 🔵… https://t.co/AbqDO9oWlI,0,United Kingdom
KS_Sedegah,Kwamzz,"RT @ThatArabKeeper: 🧤✍️ Here's my latest for Between the Sticks!

Sergio Ramos has scored each of his last 25 penalties and 28 of his last…",6,My room 
bataineh53,Mohammad Bataineh 3️⃣4️⃣🏆,RT @DBlanco118: 🚨Real Madrid have opened negotiations to sign Bayern's David Alaba for free next summer. Alaba's agent is hopeful of agreei…,1,HKJ_IRBID_KAFRYUBA 
officialrm_dna,RM_DNA,"Zidane:

 “Hazard suffered a knock, but it’s nothing more”

#RealMadrid https://t.co/4OhubhMCI7",0,
DBlanco118,madridnnews,🚨Real Madrid have opened negotiations to sign Bayern's David Alaba for free next summer. Alaba's agent is hopeful o… https://t.co/MIInpW1Yv8,1,
Dayoodee1,Deee,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
oCapinha,O tal do capinha 💢,"RT @tf_sportedit: Real Madrid CF | Wallpaper 

#RealMadridInter #RealMadrid #HalaMadrid #UCL https://t.co/IrxJacQ5gO",4,Botafogo
Xhallum,Abraham Solomon,RT @lazapir: I didn't think #Elections2020 would be such a sudden death contest. Nothing is ever really as it seems in today's world😲. #Sha…,1,FCT
MarkyTwainy,Marky Twainy,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/IUtrAN9Zlz",0,
lazapir,Laz Apir,I didn't think #Elections2020 would be such a sudden death contest. Nothing is ever really as it seems in today's w… https://t.co/OpXyeG3Jrb,1,"Abuja, Nigeria."
13_jennifer_lh,Jennifer🖤,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Santa Pola, España"
mjibril19,Mjay Jb $MTXLT Astronaut,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,Kaduna
MallBecca,Becca's OnLine Mall,"Soccer training equipment available at https://t.co/eTb5etF8Zr.

https://t.co/RIeChLoZdz

#soccer #football #futbol… https://t.co/q6yhieYP64",0,United States of America
DerAustor,Austor - FIFA Prediction & More 🅙,"14 YEARS CHALLENGE THEN AND NOW! 😱🔥| FIFA 07 VS FIFA 21 https://t.co/3YqOgRhhSO via @YouTube 

#FIFA21 #Challenge… https://t.co/aqqeVIAF4s",0,Instagram: austor_official
amitde24,Amit Bhuyan,"@RodrygoGoes @nikefootball Rodrygo!!! Should the scorer of the winner start?

Ødegaard is back!

Who to start for… https://t.co/mLhC8yIMJr",0,INDIA
waroh_sarawut,Sarawut Waroh,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,"จ.สตูล, ประเทศไทย"
Route1futbol,RouteOneFootball,"OFFICIAL ✅: Pepe 🇵🇹 has extended his contract with Porto until 2023!
[@FCPorto] #FCPorto #RealMadrid https://t.co/DfpTtyrNOv",0,
sportofusa,sportofusa,"Sources: Madrid, Ramos begin contract talks

Videos, news: https://t.co/M7JL41NtOk

#SergioRamos #RealMadrid… https://t.co/te2DKOwPnf",0,"Washington, DC"
samad__ayo,Naija Rambo🇳🇬,RT @Bolt_Global: ⚡️#RealMadrid will be looking for their first #ChampionsLeague victory of the season when they welcome #InterMilan to the…,310,
NatyCP_23,Nαty,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
arrxcagol,manuzinha 📴,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,lua • yas • elen • ju • let
RodneyMarsh10,Rodney Marsh,"RT @SiriusXMFC: #RealMadrid squeaks by #InterMilan
 
Diogo #Jota bags a hat trick 
 
Rodney still isn’t convinced by #ManCity 
 
It’s a ful…",3,"Tampa, FL 🌴🌴"
carrillo_elissa,Ely carrillo,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
loren_cr7,Capitán Deadpool,"RT @realmadridfem: 28' | 2-0 | ¡¡¡¡GOOOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#HalaMadrid | #RealMadrid https://t.co/iJlxBzSTJq",162,"Cáceres, España"
GPundits,Grumpy Pundits,"RT @SiriusXMFC: #RealMadrid squeaks by #InterMilan
 
Diogo #Jota bags a hat trick 
 
Rodney still isn’t convinced by #ManCity 
 
It’s a ful…",3,
TimHorsey,Tim Horsey,"RT @SiriusXMFC: #RealMadrid squeaks by #InterMilan
 
Diogo #Jota bags a hat trick 
 
Rodney still isn’t convinced by #ManCity 
 
It’s a ful…",3,"Washington, DC"
SiriusXMFC,SiriusXM FC 157 ⚽️📻,"#RealMadrid squeaks by #InterMilan
 
Diogo #Jota bags a hat trick 
 
Rodney still isn’t convinced by #ManCity 
 
It… https://t.co/fcbTSBckJP",3,SiriusXM Channel 157
ZHollowayyy,Z /\ K,"1. The Foreign Six - Torino no Lazio
https://t.co/X8c3E56z0p #Juventus #Barcelona #RealMadrid #Napoli #Dortmund… https://t.co/cARQV3FlOc",0,"Penkridge, England"
