screen_name,name,location,created
LondonsFinestQU,London's Finest,,2020-11-15
mimik,Clars,London,2020-11-15
harkhin_khunmi,Oloyede Akinkunmi Simeon,Nigeria,2020-11-15
ChelseaPuzzles,ChelseaPuzzles,SW6 1HS,2020-11-15
thekay007,Kay,,2020-11-15
nanaadjei_LY,Bhra LARYEA,"Accra, Ghana",2020-11-15
Ifeoluwa_duth,Ifeoluwa,Nigeria,2020-11-15
ibrahimtune,chelseablood,,2020-11-15
Real_DMacheda,Darlington Macheda™,Mind Your Business,2020-11-15
AlMaskary,✪ محمد المسكري, ,2020-11-15
ojo_ahmed,Anikulapo Coochie 🇦🇶🦍,IYH,2020-11-15
marule00,Luka Markovic,,2020-11-15
aasszznnee,Asznee,,2020-11-15
AylesfordInt,AylesfordInt,"London, England",2020-11-15
Turbo__Timo,Timo,"Lagos, Nigeria",2020-11-15
otee_smlz,NIGERIA BLEEDS #ENDSARS,Stoneville🌿🏔 🌿,2020-11-15
king_slider,Don Dada👑,"Lagos, Nigeria",2020-11-15
Sethakande,Mr seth-skeng shelby,,2020-11-15
RomansEmpirePod,Roman's Empire Pod,"Los Angeles, CA",2020-11-15
stamford_bridge,History of ChelseaFC,London SW6,2020-11-15
benzeema007,#SARSMUSTEND✊✊,"Yenagoa, Nigeria",2020-11-15
fluentmediag,Raul Mateu,,2020-11-15
jamesne60235676,james newton,,2020-11-15
james_candour,LIBERATION,"Lagos, Nigeria",2020-11-15
flyingeze,Flying Eze,,2020-11-15
rebeccawalshol2,rebecca 💙💙💙💙 🎄🎄,"Mayo, Ireland",2020-11-15
LoyalFootballCo,Loyal Football Co.,Australia,2020-11-15
Alhassa83518932,Abdul JNR POGBA💓🙌,"Upper West, Ghana",2020-11-15
hasan01mahmud1,Hasan01Mahmud,"Dhaka,Bangladesh",2020-11-15
TurksonCee,Cee Turkson,"Accra, Ghana",2020-11-15
Papylo9,Papylo,,2020-11-15
CFCChronicle,Chelsea Chronicle,"London, England",2020-11-15
highhavertz,ajinkya rahane apologist,,2020-11-15
krisho1980,KRISHAN ODEDRA,,2020-11-15
chivomapius,WelBeast,Everywhere,2020-11-15
CfcEesa,Eesa Hussain,United Kingdom,2020-11-15
kengel_13,Daniel,Nigeria,2020-11-15
jacobeshun2,jacobeshun,western region.Bogoso,2020-11-15
Ran95926198,Ran 0532439154,,2020-11-15
johncarley1966,John Carley,Wembley Middlesex. ,2020-11-15
AdekoyaAdeniy16,Adekoya Adeniyi,,2020-11-15
kallad,kallad,,2020-11-15
batsflip,Maxime,,2020-11-15
CFCValentine,Valentine Miller,"Harare, Zimbabwe",2020-11-15
AbsoluteChelsea,Absolute Chelsea,,2020-11-15
The_wordsmith10,BENGAZY👑,"Kasoa, Ghana",2020-11-15
YusufJiyah,wambai¹,konoha♌,2020-11-15
FootyKeyrings,SD,,2020-11-15
ElChapo099,PULISIC’S BOOTS 🔥💙🚀,Ghana,2020-11-15
shaneneils1,Mr. Skeng🏝⚡,,2020-11-15
theAsianBlue,The Asian Blue 💙,Opinions Are My Own,2020-11-15
Dan0532439154,جيك مساج الرياض,,2020-11-15
ManUtdFanKe,manchester united  fans🇰🇪,"Nairobi, Kenya",2020-11-15
nsarko_2131,uncle nsarko,traveller ,2020-11-15
Kwa_bena18,The boy 👦,"Kasoa, Ghana",2020-11-15
KelvinExcel4,Kelvin Excel,"Nairobi, Kenya",2020-11-15
big_bentweet,big_ben,,2020-11-15
uchee_fia,uche,"Lagos, Nigeria",2020-11-15
GriffithPallett,Griff-Pall,,2020-11-15
Chilo617,Isidro Moreno,,2020-11-15
thepawnbroker1,Phil O'Brien,,2020-11-15
BrewBalcony,BalconyBrewReview,,2020-11-15
GeemChelseaFC,Hageem_10,,2020-11-15
fan_cornell,CornellHockeyFan,"Wynantskill, NY",2020-11-15
PaulMBanks,Socially Distant Paul M Banks,"Gold Coast, Chicago, IL, USA",2020-11-15
footywatching,Sports,,2020-11-15
woofeyz,ติ๊นู่ม 💙🌈,Chelsea💙,2020-11-15
TheChelseaSpot,The Chelsea Spot,Stamford Bridge,2020-11-15
habibmohammed09,HABIB A.MOHAMMED,Ghana,2020-11-15
adieujeunesse,* NOT granger's boyfriend,please read carrd ! ,2020-11-15
droplets14,augustine💧,,2020-11-15
NNPremierLeague,Premier League News Now,,2020-11-15
Bobbybe61302993,Prestige,Nigeria ,2020-11-15
habeeb_adesina,olardimeji__ˢᵀ🔱🦁😈,"Ogun, Nigeria",2020-11-15
RakafGh,A F A 🇬🇭,Tema-Ghana,2020-11-15
tmj_tul_transp,TMJ-TUL Transp. Jobs,"Tulsa, OK",2020-11-15
AlexMoorsey22,Alex Moore,"Dharhan, Saudi Arabia ",2020-11-15
struttsthebeach,Strutt & Parker Chelsea SW10,"140 Fulham Road, Chelsea SW10 9PY",2020-11-15
madtingz_,•,,2020-11-15
MugabeMo,JM,"Manchester, England",2020-11-15
Skbondze,flyest in charge💀,"Greater Accra, Ghana",2020-11-15
8pqn1,𝑶𝑴𝑨𝑹🖤,,2020-11-15
mex_chelsea,Chelsea Fans,Mexico City,2020-11-15
dagarrre0,ibnu dagare 🕘,Palestine,2020-11-15
Nicocantor1,Nico Cantor,"London, England",2020-11-15
RowdieUk,Rowdieuk,United Kingdom,2020-11-15
SparrowDesmond,Dsexmond👅Serial #EndSars😷Retweeter. xplicitConte,Nigeria,2020-11-15
djlexo_,GOLDEN BOY DJ 📀📀,Lexical Town,2020-11-15
atoms_nuclear,Nuclear Atoms,"Dhaka, Bangladesh",2020-11-15
cnstvja,Cable News & Sports TV,,2020-11-15
KingMoLFC,🇪🇬👑,,2020-11-15
OneManKaizer,Kaizer.⚓,the whole world.,2020-11-15
wezza_88,Wez,Manchester,2020-11-15
KickoffMH,Kick Off With Moorsey & Hutch,,2020-11-15
newschainwomen,NewsChain Women's Sport,United Kingdom,2020-11-15
rmadridism,rmadridism,,2020-11-15
AllanKhash,Boss Player,,2020-11-15
livescore,LiveScore,URL,2020-11-15
lgd_holy,#Highest🎯,Ghana,2020-11-15
SportIn_Global,Sportin_global,"Molde, Norge",2020-11-15
WanFaridKamil,MaldiniFaridKamil,"Kuala Lumpur, Malaysia.",2020-11-15
rajesh_chumber,Rajesh Chumber,,2020-11-15
AFS11v11,AFS - Football Stats,London,2020-11-15
RansfordCobbin4,Ransford Pjay,"Nsuaem, Ghana",2020-11-15
QueenSandy_CFC,👑§åñÐ¥ þêrêrå👑,"Royal County Of Berkshire,UK",2020-11-15
jhybow_whiskey,Mr. JB S.M.I.L.E🎹🎺🎼,"Lagos, Nigeria",2020-11-15
kabal30,LazyNigeriaYouth 💭❄️ #EndSwat 💯,"Lagos, Nigeria",2020-11-15
Raycfc17,RAY🇳🇬💙,Estadio Puente Stamford,2020-11-15
SenBanter,Sen_Fi_Dem_Banter,"England, United Kingdom",2020-11-15
Uyanda68492837,Uyanda,,2020-11-15
ChelseaChadder,Chad,"MHL, Gate 9",2020-11-15
cfcfc4eva,Bigsam,,2020-11-15
tiengudda,Tien Nguyen,"Ho Chi Minh, Vietnam",2020-11-15
okumakese,Okum Akese,"Wa, Upper West,Ghana",2020-11-15
Citso_Al,C-tso,"Ho, Ghana",2020-11-15
harve65,Mark Harvey,istanbul,2020-11-15
